Zone,CH Num,CH Name,RX Freq,TX Freq,RX TS,TX TS,RX CC,TX CC,Type,Power,Bandwidth,RX Only,Contact Name,RX Group Name,Scan List Name,Alarm,Prompt,PCT,MSG Type,TX Policy,EAS,TX Tone Type,TX Tone,RX Tone Type,RX Tone,APRS CH,Relay Monitor,Relay Mode
George,1,Rpt 147.12,147120000,147720000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,BM WW,Hotspot,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,2,Smp 147.12,147120000,147120000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,3,Rpt Cross,145330000,446800000,TS1,TS1,1,1,ANALOG,LOW,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,4,Rpt Grn V,147000000,147600000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,5,Rpt Grn U,444225000,449225000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,6,Rpt Parrot,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Rpt Parrot,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,7,RP NA,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,N America,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,8,Rpt MS SW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,MS SW,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,9,Rpt SE Reg,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,SE Region,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,10,Rpt Luce,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Lucedale,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_ALL,OFF,OFF,0,OFF,0,0,OFF,OFF
George,11,Rpt Local,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Local,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,12,Rpt Hurcan,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Hurricane,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,13,Rpt 1st Co,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,1st Coast,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,14,Rpt MS TAC,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,MS TAC,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_ALL,OFF,OFF,0,OFF,0,0,OFF,OFF
George,15,Rpt Kingsl,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Kingsland,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,16,Rpt WW Eng,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,WW Eng,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,17,Rpt BM WW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM WW,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,18,Rpt BM NA,444200000,449200000,TS1,TS1,1,1,DIGITAL,LOW,12.5KHz,OFF,BM N Ameri,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,19,Rpt Tac310,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,TAC-310,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,20,Rpt Tac311,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,TAC-311,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,21,Rpt Tac312,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,TAC-312,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,22,Rpt BM USA,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM USA,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
